	1.00	1.40	1.80	2.20	2.60	3.00	3.40	3.80
0.00	0.567	0.000	0.000	0.000	0.000	0.000	0.000	0.000
56.75	0.684	0.630	0.395	0.187	0.193	0.102	0.048	0.000
113.50	0.684	0.760	0.720	0.550	0.458	0.362	0.233	0.043
170.25	0.648	0.760	0.765	0.710	0.660	0.550	0.442	0.184
227.00	0.504	0.720	0.775	0.770	0.750	0.710	0.650	0.427
283.75	0.331	0.560	0.750	0.770	0.770	0.760	0.730	0.585
340.50	0.169	0.368	0.680	0.750	0.760	0.758	0.750	0.657
397.25	0.000	0.187	0.550	0.680	0.720	0.730	0.730	0.675
454.00	0.000	0.000	0.000	0.500	0.000	0.573	0.555	0.488
